CEO,name,company,rank,sector,newcomer,ceo_founder,ceo_woman,birth_year,age
Michael S. Dell,Michael Dell,Dell Technologies,34,Technology,no,yes,no,1965,55
Alex Gorsky,Alex Gorsky,Johnson & Johnson,35,Health Care,no,no,no,1960,60
Michael L. Tipsord,Michael Tipsord,State Farm Insurance,36,Financials,no,no,no,1959,61
Brian C. Cornell,Brian Cornell,Target,37,Retailing,no,no,no,1958,62
Arvind Krishna,Arvind Krishna,IBM,38,Technology,no,no,no,1962,58
Gregory J. Hayes,Gregory Hayes,Raytheon Technologies,39,Aerospace & Defense,no,no,no,,
David L. Calhoun,David Calhoun,Boeing,40,Aerospace & Defense,no,no,no,1957,63
Michael T. Hutchins,Michael Hutchins,Freddie Mac,41,Financials,no,no,no,,
Michael F. Neidorff,Michael Neidorff,Centene,42,Health Care,no,no,no,,
Carol B. Tomé,Carol Tomé,UPS,43,Transportation,no,no,yes,,
Marvin R. Ellison,Marvin Ellison,Lowe&#8217;s,44,Retailing,no,no,no,,
Patrick P. Gelsinger,Patrick Gelsinger,Intel,45,Technology,no,no,no,1961,59
Mark Zuckerberg,Mark Zuckerberg,Facebook,46,Technology,no,yes,no,,
Frederick W. Smith,Frederick Smith,FedEx,47,Transportation,no,yes,no,1944,76
Michel A. Khalaf,Michel Khalaf,MetLife,48,Financials,no,no,no,,
Robert A. Chapek,Robert Chapek,Walt Disney,49,Media,no,no,no,,
David S. Taylor,David Taylor,Procter & Gamble,50,Household Products,no,no,no,1958,62
Ramon L. Laguarta,Ramon Laguarta,PepsiCo,51,"Food, Beverages & Tobacco",no,no,no,,
Bruce D. Broussard,Bruce Broussard,Humana,52,Health Care,no,no,no,,
Charles F. Lowrey,Charles Lowrey,Prudential Financial (U.S.),53,Financials,no,no,no,,
